,Unnamed: 0,state,housing_cost,food_cost,transportation_cost,healthcare_cost,other_necessities_cost,childcare_cost,taxes,total_cost,median_family_income,latitude,longitude,name,FIPS_Code,State,Area_name,Rural_urban_continuum_code_2013,Urban_influence_code_2013,City/Suburb/Town/Rural,Metro_2013,Civilian_labor_force_2000,Employed_2000,Unemployed_2000,Unemployment_rate_2000,Civilian_labor_force_2001,Employed_2001,Unemployed_2001,Unemployment_rate_2001,Civilian_labor_force_2002,Employed_2002,Unemployed_2002,Unemployment_rate_2002,Civilian_labor_force_2003,Employed_2003,Unemployed_2003,Unemployment_rate_2003,Civilian_labor_force_2004,Employed_2004,Unemployed_2004,Unemployment_rate_2004,Civilian_labor_force_2005,Employed_2005,Unemployed_2005,Unemployment_rate_2005,Civilian_labor_force_2006,Employed_2006,Unemployed_2006,Unemployment_rate_2006,Civilian_labor_force_2007,Employed_2007,Unemployed_2007,Unemployment_rate_2007,Civilian_labor_force_2008,Employed_2008,Unemployed_2008,Unemployment_rate_2008,Civilian_labor_force_2009,Employed_2009,Unemployed_2009,Unemployment_rate_2009,Civilian_labor_force_2010,Employed_2010,Unemployed_2010,Unemployment_rate_2010,Civilian_labor_force_2011,Employed_2011,Unemployed_2011,Unemployment_rate_2011,Civilian_labor_force_2012,Employed_2012,Unemployed_2012,Unemployment_rate_2012,Civilian_labor_force_2013,Employed_2013,Unemployed_2013,Unemployment_rate_2013,Civilian_labor_force_2014,Employed_2014,Unemployed_2014,Unemployment_rate_2014,Civilian_labor_force_2015,Employed_2015,Unemployed_2015,Unemployment_rate_2015,Civilian_labor_force_2016,Employed_2016,Unemployed_2016,Unemployment_rate_2016,Civilian_labor_force_2017,Employed_2017,Unemployed_2017,Unemployment_rate_2017,Civilian_labor_force_2018,Employed_2018,Unemployed_2018,Unemployment_rate_2018,Civilian_labor_force_2019,Employed_2019,Unemployed_2019,Unemployment_rate_2019,Civilian_labor_force_2020,Employed_2020,Unemployed_2020,Unemployment_rate_2020,Median_Household_Income_2019,Med_HH_Income_Percent_of_State_Total_2019,NAME,2006_Age0_Sex0,2007_Age0_Sex0,2008_Age0_Sex0,2009_Age0_Sex0,2010_Age0_Sex0,2011_Age0_Sex0,2012_Age0_Sex0,2013_Age0_Sex0,2014_Age0_Sex0,2015_Age0_Sex0
10,9,FL,13166.638745014923,8955.002390149253,12972.213807044776,13543.69227277612,8015.543004358209,8797.532817671641,6071.099941074627,71521.72298149254,64294.17659748135,27.664827,-81.515754,Florida,12000,FL,Florida,,,,,"7,917,857","7,620,683","297,174",3.8,"8,048,882","7,692,124","356,758",4.4,"8,050,051","7,651,923","398,128",4.9,"8,123,135","7,760,904","362,231",4.5,"8,347,316","8,033,591","313,725",3.8,"8,647,279","8,400,346","246,933",2.9,"8,927,098","8,707,158","219,940",2.5,"9,113,604","8,813,449","300,155",3.3,"9,156,458","8,636,212","520,246",5.7,"8,987,789","8,127,251","860,538",9.6,"9,147,107","8,155,401","991,706",10.8,"9,260,348","8,334,119","926,229",10.0,"9,335,727","8,529,063","806,664",8.6,"9,414,664","8,706,060","708,604",7.5,"9,546,407","8,931,440","614,967",6.4,"9,639,737","9,106,772","532,965",5.5,"9,841,301","9,360,237","481,064",4.9,"10,032,422","9,606,451","425,971",4.2,"10,166,231","9,798,469","367,762",3.6,"10,330,467","9,991,437","339,030",3.3,"10,114,329","9,332,838","781,491",7.7,"59,198",100.0,Florida,3730428,3615358,3581341,3735524,3853392,3804839,3724873,3778848,3176171,2602192
11,10,GA,9991.26649471698,8232.04348,13208.205735773585,12863.149408,6603.023894490566,7299.594340830188,6701.05331645283,64898.33659396227,59841.33613404088,32.157435,-82.907123,Georgia,13000,GA,Georgia,,,,,"4,202,695","4,055,366","147,329",3.5,"4,257,901","4,083,528","174,373",4.1,"4,341,617","4,111,627","229,990",5.3,"4,414,282","4,187,003","227,279",5.1,"4,464,780","4,236,301","228,479",5.1,"4,598,159","4,336,264","261,895",5.7,"4,713,863","4,474,820","239,043",5.1,"4,810,264","4,573,302","236,962",4.9,"4,863,225","4,534,790","328,435",6.8,"4,792,150","4,292,830","499,320",10.4,"4,709,781","4,207,266","502,515",10.7,"4,739,281","4,258,833","480,448",10.1,"4,770,618","4,339,369","431,249",9.0,"4,750,046","4,363,292","386,754",8.1,"4,745,859","4,407,067","338,792",7.1,"4,734,088","4,446,515","287,573",6.1,"4,921,814","4,653,740","268,074",5.4,"5,106,156","4,862,552","243,604",4.8,"5,118,256","4,912,487","205,769",4.0,"5,148,312","4,966,157","182,155",3.5,"5,072,155","4,741,191","330,964",6.5,"61,950",100.0,Georgia,1673525,1632316,1700333,1815729,1848505,1846990,1767578,1810621,1549301,1366843
12,11,HI,22335.139128,12852.9297264,13949.0729496,11638.530996,12750.0248232,13198.9178112,18172.647048,104897.262264,99596.9921875,19.898682,-155.665857,Hawaii,15000,HI,Hawaii,,,,,"605,395","579,736","25,659",4.2,"607,556","581,379","26,177",4.3,"601,786","577,616","24,170",4.0,"603,936","580,352","23,584",3.9,"611,752","591,594","20,158",3.3,"625,530","607,853","17,677",2.8,"635,415","619,362","16,053",2.5,"636,710","619,224","17,486",2.7,"641,526","615,767","25,759",4.0,"631,970","589,798","42,172",6.7,"648,549","604,210","44,339",6.8,"660,634","615,470","45,164",6.8,"650,415","611,985","38,430",5.9,"650,978","620,005","30,973",4.8,"664,014","635,913","28,101",4.2,"670,594","647,616","22,978",3.4,"679,121","659,557","19,564",2.9,"679,783","664,729","15,054",2.2,"675,187","659,250","15,937",2.4,"669,189","652,766","16,423",2.5,"648,191","572,796","75,395",11.6,"83,734",100.0,Hawaii,105508,96622,85490,91365,102658,94510,90741,88089,69936,55299
13,12,IA,9710.733269454546,7872.1353270303025,13895.873568363637,12156.447592242424,6370.966712727272,8656.973161939393,7425.909571515152,66089.03930787879,74522.30500315657,41.878003,-93.097702,Iowa,19000,IA,Iowa,,,,,"1,594,400","1,551,434","42,966",2.7,"1,610,634","1,556,923","53,711",3.3,"1,629,047","1,564,178","64,869",4.0,"1,607,931","1,536,505","71,426",4.4,"1,607,438","1,534,634","72,804",4.5,"1,628,510","1,558,522","69,988",4.3,"1,655,924","1,595,344","60,580",3.7,"1,662,155","1,600,507","61,648",3.7,"1,682,209","1,612,459","69,750",4.1,"1,677,059","1,569,561","107,498",6.4,"1,674,411","1,571,960","102,451",6.1,"1,670,056","1,575,767","94,289",5.6,"1,660,180","1,576,236","83,944",5.1,"1,676,565","1,597,139","79,426",4.7,"1,698,718","1,626,676","72,042",4.2,"1,700,549","1,637,467","63,082",3.7,"1,703,164","1,642,152","61,012",3.6,"1,686,470","1,634,328","52,142",3.1,"1,701,663","1,657,461","44,202",2.6,"1,733,868","1,685,857","48,011",2.8,"1,666,420","1,578,765","87,655",5.3,"61,807",100.0,Iowa,272711,274879,248020,247530,270219,263528,249896,244164,185413,149178
14,13,ID,10711.257416454546,8729.474354727274,14391.546485727273,12514.745433272728,7044.143792181819,9655.050370363637,7459.801566,70506.01943999999,63504.19691051136,44.068202,-114.742041,Idaho,16000,ID,Idaho,,,,,"661,066","630,228","30,838",4.7,"678,281","643,913","34,368",5.1,"685,650","647,019","38,631",5.6,"691,702","653,299","38,403",5.6,"702,872","668,638","34,234",4.9,"730,354","701,400","28,954",4.0,"744,475","718,848","25,627",3.4,"755,287","732,155","23,132",3.1,"759,676","721,828","37,848",5.0,"763,633","696,832","66,801",8.7,"762,147","695,265","66,882",8.8,"764,205","701,660","62,545",8.2,"772,112","714,969","57,143",7.4,"777,606","724,545","53,061",6.8,"776,937","742,805","34,132",4.4,"795,014","764,121","30,893",3.9,"812,921","783,180","29,741",3.7,"833,996","807,676","26,320",3.2,"855,263","831,218","24,045",2.8,"879,448","855,129","24,319",2.8,"892,151","844,365","47,786",5.4,"60,830",100.0,Idaho,226111,225232,250615,257017,273440,255479,250246,256305,216276,177426
15,14,IL,10140.770715294117,7684.844930941177,13523.060966117648,15632.785638705882,6458.923552941176,10554.929404470588,9029.297872941175,73024.61305294117,73194.42578125,40.633125,-89.398528,Illinois,17000,IL,Illinois,,,,,"6,494,429","6,206,060","288,369",4.4,"6,454,092","6,103,092","351,000",5.4,"6,341,891","5,925,990","415,901",6.6,"6,310,520","5,885,134","425,386",6.7,"6,348,716","5,955,739","392,977",6.2,"6,410,767","6,044,685","366,082",5.7,"6,515,687","6,217,917","297,770",4.6,"6,639,198","6,301,409","337,789",5.1,"6,652,942","6,222,179","430,763",6.5,"6,601,620","5,928,539","673,081",10.2,"6,612,433","5,918,202","694,231",10.5,"6,567,531","5,925,787","641,744",9.8,"6,583,689","5,989,454","594,235",9.0,"6,556,593","5,961,201","595,392",9.1,"6,516,372","6,049,059","467,313",7.2,"6,511,797","6,119,934","391,863",6.0,"6,559,038","6,172,672","386,366",5.9,"6,485,462","6,164,387","321,075",5.0,"6,472,193","6,189,228","282,965",4.4,"6,445,989","6,188,686","257,303",4.0,"6,249,147","5,657,532","591,615",9.5,"69,212",100.0,Illinois,1787151,1670278,1542646,1658111,1717178,1627886,1593191,1588326,1211871,885019
16,15,IN,10183.022277913044,7476.631628608696,13385.544981,12401.905053913042,6398.789053565217,12064.40524904348,7251.382306434783,69161.68045956522,70347.77454144022,40.551217,-85.602364,Indiana,18000,IN,Indiana,,,,,"3,125,304","3,030,889","94,415",3.0,"3,143,985","3,010,490","133,495",4.2,"3,161,709","2,997,963","163,746",5.2,"3,178,568","3,011,507","167,061",5.3,"3,165,247","2,993,991","171,256",5.4,"3,202,215","3,029,258","172,957",5.4,"3,235,980","3,075,761","160,219",5.0,"3,202,589","3,054,548","148,041",4.6,"3,244,790","3,053,593","191,197",5.9,"3,216,535","2,880,173","336,362",10.5,"3,175,885","2,854,843","321,042",10.1,"3,189,011","2,904,397","284,614",8.9,"3,172,556","2,911,925","260,631",8.2,"3,193,683","2,953,672","240,011",7.5,"3,228,524","3,036,685","191,839",5.9,"3,266,392","3,109,791","156,601",4.8,"3,331,821","3,186,420","145,401",4.4,"3,327,615","3,211,524","116,091",3.5,"3,378,165","3,264,145","114,020",3.4,"3,382,491","3,273,070","109,421",3.2,"3,319,010","3,082,982","236,028",7.1,"57,617",100.0,Indiana,784146,715766,817222,882602,929589,911674,911449,887375,768504,621372
17,16,KS,9675.83905542857,8134.008803428571,13828.6669216,14325.083046857144,6453.210268914286,7853.488288914285,6962.780205828572,67233.07662514286,68094.71253720239,39.011902,-98.484246,Kansas,20000,KS,Kansas,,,,,"1,402,606","1,349,841","52,765",3.8,"1,398,521","1,338,775","59,746",4.3,"1,419,335","1,347,163","72,172",5.1,"1,441,065","1,361,115","79,950",5.5,"1,458,910","1,378,355","80,555",5.5,"1,458,767","1,384,654","74,113",5.1,"1,467,553","1,402,950","64,603",4.4,"1,485,414","1,422,109","63,305",4.3,"1,493,365","1,425,022","68,343",4.6,"1,512,572","1,408,142","104,430",6.9,"1,500,463","1,396,172","104,291",7.0,"1,498,000","1,402,198","95,802",6.4,"1,490,808","1,405,638","85,170",5.7,"1,489,395","1,410,470","78,925",5.3,"1,494,203","1,426,892","67,311",4.5,"1,493,782","1,431,533","62,249",4.2,"1,491,961","1,431,920","60,041",4.0,"1,483,648","1,429,911","53,737",3.6,"1,483,633","1,434,852","48,781",3.3,"1,493,666","1,446,448","47,218",3.2,"1,497,003","1,408,995","88,008",5.9,"62,028",100.0,Kansas,321869,330694,305209,349636,380567,348974,348613,341248,284342,253816
18,17,KY,9264.43609,7454.149497200001,13444.1126756,12637.323742,6057.802890100001,9151.5469626,7284.855799599999,65294.227775,58144.298665364586,37.839333,-84.270018,Kentucky,21000,KY,Kentucky,,,,,"1,957,400","1,876,232","81,168",4.1,"1,953,834","1,852,043","101,791",5.2,"1,944,682","1,832,250","112,432",5.8,"1,965,881","1,844,378","121,503",6.2,"1,969,935","1,861,750","108,185",5.5,"1,991,726","1,874,747","116,979",5.9,"2,026,144","1,910,580","115,564",5.7,"2,035,493","1,925,716","109,777",5.4,"2,038,225","1,906,275","131,950",6.5,"2,064,847","1,842,085","222,762",10.8,"2,065,023","1,852,302","212,721",10.3,"2,061,500","1,868,168","193,332",9.4,"2,060,084","1,891,109","168,975",8.2,"2,055,895","1,892,777","163,118",7.9,"2,006,518","1,877,551","128,967",6.4,"1,979,641","1,876,009","103,632",5.2,"2,015,645","1,914,479","101,166",5.0,"2,049,909","1,952,376","97,533",4.8,"2,052,876","1,966,606","86,270",4.2,"2,070,332","1,984,662","85,670",4.1,"2,019,887","1,885,645","134,242",6.6,"52,256",100.0,Kentucky,570294,602995,542705,601743,640974,621065,593832,615363,360275,258239
19,18,LA,10721.3652395625,8451.393716062501,13140.45278325,14997.6591789375,6947.046667875,6766.504301625,7257.9278015625,68282.349845625,58620.87313842773,31.244823,-92.145024,Louisiana,22000,LA,Louisiana,,,,,"2,026,392","1,921,984","104,408",5.2,"2,027,220","1,913,555","113,665",5.6,"2,013,652","1,892,947","120,705",6.0,"2,024,914","1,897,902","127,012",6.3,"2,030,415","1,914,521","115,894",5.7,"2,078,215","1,929,492","148,723",7.2,"2,001,297","1,919,476","81,821",4.1,"2,026,793","1,943,648","83,145",4.1,"2,064,692","1,968,676","96,016",4.7,"2,067,873","1,927,200","140,673",6.8,"2,084,462","1,927,720","156,742",7.5,"2,080,525","1,926,038","154,487",7.4,"2,089,644","1,948,630","141,014",6.7,"2,101,974","1,966,755","135,219",6.4,"2,141,519","2,007,668","133,851",6.3,"2,150,050","2,015,081","134,969",6.3,"2,123,690","1,994,639","129,051",6.1,"2,108,493","2,000,391","108,102",5.1,"2,114,675","2,012,747","101,928",4.8,"2,119,799","2,021,226","98,573",4.7,"2,076,643","1,905,238","171,405",8.3,"51,108",100.0,Louisiana,864144,871231,732996,766181,793782,783015,755908,746374,661811,538466
