,Unnamed: 0,state,housing_cost,food_cost,transportation_cost,healthcare_cost,other_necessities_cost,childcare_cost,taxes,total_cost,median_family_income,latitude,longitude,name,FIPS_Code,State,Area_name,Rural_urban_continuum_code_2013,Urban_influence_code_2013,City/Suburb/Town/Rural,Metro_2013,Civilian_labor_force_2000,Employed_2000,Unemployed_2000,Unemployment_rate_2000,Civilian_labor_force_2001,Employed_2001,Unemployed_2001,Unemployment_rate_2001,Civilian_labor_force_2002,Employed_2002,Unemployed_2002,Unemployment_rate_2002,Civilian_labor_force_2003,Employed_2003,Unemployed_2003,Unemployment_rate_2003,Civilian_labor_force_2004,Employed_2004,Unemployed_2004,Unemployment_rate_2004,Civilian_labor_force_2005,Employed_2005,Unemployed_2005,Unemployment_rate_2005,Civilian_labor_force_2006,Employed_2006,Unemployed_2006,Unemployment_rate_2006,Civilian_labor_force_2007,Employed_2007,Unemployed_2007,Unemployment_rate_2007,Civilian_labor_force_2008,Employed_2008,Unemployed_2008,Unemployment_rate_2008,Civilian_labor_force_2009,Employed_2009,Unemployed_2009,Unemployment_rate_2009,Civilian_labor_force_2010,Employed_2010,Unemployed_2010,Unemployment_rate_2010,Civilian_labor_force_2011,Employed_2011,Unemployed_2011,Unemployment_rate_2011,Civilian_labor_force_2012,Employed_2012,Unemployed_2012,Unemployment_rate_2012,Civilian_labor_force_2013,Employed_2013,Unemployed_2013,Unemployment_rate_2013,Civilian_labor_force_2014,Employed_2014,Unemployed_2014,Unemployment_rate_2014,Civilian_labor_force_2015,Employed_2015,Unemployed_2015,Unemployment_rate_2015,Civilian_labor_force_2016,Employed_2016,Unemployed_2016,Unemployment_rate_2016,Civilian_labor_force_2017,Employed_2017,Unemployed_2017,Unemployment_rate_2017,Civilian_labor_force_2018,Employed_2018,Unemployed_2018,Unemployment_rate_2018,Civilian_labor_force_2019,Employed_2019,Unemployed_2019,Unemployment_rate_2019,Civilian_labor_force_2020,Employed_2020,Unemployed_2020,Unemployment_rate_2020,Median_Household_Income_2019,Med_HH_Income_Percent_of_State_Total_2019,NAME,2006_Age0_Sex0,2007_Age0_Sex0,2008_Age0_Sex0,2009_Age0_Sex0,2010_Age0_Sex0,2011_Age0_Sex0,2012_Age0_Sex0,2013_Age0_Sex0,2014_Age0_Sex0,2015_Age0_Sex0
20,19,MA,21447.66233742857,10370.573459142855,12986.786190857145,11432.136849428573,11529.001648285714,18146.393778857146,15979.021309714286,101891.57594571428,100532.20982142857,42.407211,-71.382437,Massachusetts,25000,MA,Massachusetts,,,,,"3,340,566","3,246,356","94,210",2.8,"3,386,892","3,258,352","128,540",3.8,"3,436,864","3,257,517","179,347",5.2,"3,418,989","3,223,294","195,695",5.7,"3,400,830","3,226,991","173,839",5.1,"3,385,536","3,222,953","162,583",4.8,"3,411,688","3,251,029","160,659",4.7,"3,433,239","3,277,912","155,327",4.5,"3,465,906","3,282,299","183,607",5.3,"3,470,431","3,189,506","280,925",8.1,"3,479,304","3,198,617","280,687",8.1,"3,484,135","3,232,458","251,677",7.2,"3,506,457","3,271,256","235,201",6.7,"3,516,689","3,283,144","233,545",6.6,"3,569,557","3,364,853","204,704",5.7,"3,589,409","3,417,296","172,113",4.8,"3,617,498","3,472,327","145,171",4.0,"3,682,039","3,541,513","140,526",3.8,"3,763,163","3,633,438","129,725",3.4,"3,782,086","3,667,735","114,351",3.0,"3,658,321","3,334,126","324,195",8.9,"85,700",100.0,Massachusetts,530973,435894,240442,269241,281724,267661,246614,238392,208262,180139
21,20,MD,16307.2751975,8959.5293275,13674.5560175,9015.9699115,9155.159809,12018.683361,9870.316977,79001.490465,96138.12760416669,39.045755,-76.641271,Maryland,24000,MD,Maryland,,,,,"2,801,391","2,702,430","98,961",3.5,"2,836,279","2,717,443","118,836",4.2,"2,872,367","2,734,977","137,390",4.8,"2,881,024","2,742,966","138,058",4.8,"2,885,111","2,752,186","132,925",4.6,"2,931,581","2,799,960","131,621",4.5,"2,984,444","2,860,048","124,396",4.2,"2,989,317","2,877,994","111,323",3.7,"3,027,934","2,891,508","136,426",4.5,"3,049,869","2,819,397","230,472",7.6,"3,078,368","2,836,945","241,423",7.8,"3,097,300","2,870,857","226,443",7.3,"3,120,947","2,906,518","214,429",6.9,"3,128,908","2,924,626","204,282",6.5,"3,125,017","2,945,911","179,106",5.7,"3,139,988","2,983,083","156,905",5.0,"3,155,918","3,020,827","135,091",4.3,"3,202,702","3,071,962","130,740",4.1,"3,215,107","3,092,580","122,527",3.8,"3,269,707","3,155,739","113,968",3.5,"3,172,796","2,958,287","214,509",6.8,"86,644",100.0,Maryland,764718,714982,596241,627606,630139,595770,587764,584728,450280,374972
22,21,ME,12014.3904945,10236.02464575,13511.80492875,13055.79658125,8062.202881499999,9010.0476015,8318.16968325,74208.436575,69733.93920898438,45.253783,-69.445469,Maine,23000,ME,Maine,,,,,"677,489","654,981","22,508",3.3,"674,958","649,627","25,331",3.8,"678,559","648,301","30,258",4.5,"685,165","649,899","35,266",5.1,"685,989","654,082","31,907",4.7,"695,280","661,176","34,104",4.9,"700,747","667,801","32,946",4.7,"699,753","667,061","32,692",4.7,"701,930","664,441","37,489",5.3,"697,698","639,142","58,556",8.4,"697,832","638,984","58,848",8.4,"698,979","644,967","54,012",7.7,"700,730","650,315","50,415",7.2,"704,240","657,058","47,182",6.7,"698,035","659,008","39,027",5.6,"687,859","657,550","30,309",4.4,"693,917","667,723","26,194",3.8,"699,532","675,934","23,598",3.4,"698,266","676,565","21,701",3.1,"696,195","677,205","18,990",2.7,"676,547","639,759","36,788",5.4,"58,824",100.0,Maine,123132,119750,131753,135054,132154,139781,133087,143651,131550,108771
23,22,MI,10453.398516,8081.84178173494,13498.8334833253,11321.191634024097,6716.048544433736,11360.720515951807,7350.064246409639,68782.09874313253,66016.92286332832,44.314844,-85.602364,Michigan,26000,MI,Michigan,,,,,"5,156,695","4,968,878","187,817",3.6,"5,138,844","4,872,118","266,726",5.2,"5,034,722","4,723,286","311,436",6.2,"5,036,119","4,678,901","357,218",7.1,"5,056,148","4,703,962","352,186",7.0,"5,069,602","4,725,701","343,901",6.8,"5,056,734","4,701,385","355,349",7.0,"4,994,841","4,640,173","354,668",7.1,"4,915,781","4,513,249","402,532",8.2,"4,860,036","4,221,462","638,574",13.1,"4,754,799","4,173,946","580,853",12.2,"4,668,979","4,201,785","467,194",10.0,"4,685,462","4,261,963","423,499",9.0,"4,736,919","4,323,410","413,509",8.7,"4,759,720","4,416,017","343,703",7.2,"4,760,207","4,501,816","258,391",5.4,"4,848,638","4,606,948","241,690",5.0,"4,887,347","4,663,044","224,303",4.6,"4,917,708","4,712,869","204,839",4.2,"4,949,476","4,748,008","201,468",4.1,"4,840,843","4,362,728","478,115",9.9,"59,522",100.0,Michigan,1068071,1042613,1054990,1173560,1193021,1130594,1103508,1059974,827968,590197
24,23,MN,10909.731249931036,8496.356437793103,13860.518967172413,12371.293413931036,7031.590875862069,11073.390693517242,8005.468306068966,71748.34987724139,78767.61377514368,46.729553,-94.6859,Minnesota,27000,MN,Minnesota,,,,,"2,799,111","2,714,001","85,110",3.0,"2,847,955","2,740,867","107,088",3.8,"2,873,004","2,744,745","128,259",4.5,"2,893,369","2,754,850","138,519",4.8,"2,893,478","2,760,746","132,732",4.6,"2,880,908","2,762,419","118,489",4.1,"2,889,613","2,772,171","117,442",4.1,"2,898,861","2,765,611","133,250",4.6,"2,914,133","2,756,573","157,560",5.4,"2,932,056","2,699,974","232,082",7.9,"2,940,696","2,722,623","218,073",7.4,"2,952,527","2,760,400","192,127",6.5,"2,949,770","2,783,181","166,589",5.6,"2,961,729","2,812,453","149,276",5.0,"2,979,798","2,852,488","127,310",4.3,"3,005,414","2,891,673","113,741",3.8,"3,023,110","2,906,348","116,762",3.9,"3,050,765","2,945,748","105,017",3.4,"3,059,403","2,966,976","92,427",3.0,"3,092,900","2,995,039","97,861",3.2,"3,094,702","2,903,562","191,140",6.2,"74,529",100.0,Minnesota,425028,436345,423662,460534,468857,462930,419196,433829,308991,237981
25,24,MO,9267.675736137931,7759.355090999999,13243.78763524138,15061.465639551723,6169.564771344827,7873.089313034482,6845.8245517241385,66220.76276793104,61569.82904211956,37.964253,-91.831833,Missouri,29000,MO,Missouri,,,,,"2,971,441","2,870,458","100,983",3.4,"2,987,905","2,853,157","134,748",4.5,"2,981,097","2,823,361","157,736",5.3,"2,983,337","2,814,661","168,676",5.7,"2,995,924","2,819,803","176,121",5.9,"3,011,096","2,847,795","163,301",5.4,"3,036,656","2,888,798","147,858",4.9,"3,058,119","2,902,504","155,615",5.1,"3,065,251","2,875,600","189,651",6.2,"3,061,704","2,784,890","276,814",9.0,"3,043,249","2,753,910","289,339",9.5,"3,032,960","2,770,662","262,298",8.6,"3,004,347","2,789,025","215,322",7.2,"3,011,198","2,807,115","204,083",6.8,"3,035,599","2,848,571","187,028",6.2,"3,057,859","2,901,467","156,392",5.1,"3,072,904","2,933,457","139,447",4.5,"3,057,460","2,942,191","115,269",3.8,"3,051,194","2,953,015","98,179",3.2,"3,078,931","2,978,046","100,885",3.3,"3,052,700","2,867,162","185,538",6.1,"57,375",100.0,Missouri,727769,716596,711271,764772,766031,801665,790984,762811,682388,574373
26,25,MS,9350.474984634146,8264.917106780487,13080.322560731707,14640.994912682923,6382.7512609756095,3846.99516497561,5794.534741609756,61360.99060390244,52281.52431878811,32.354668,-89.398528,Mississippi,28000,MS,Mississippi,,,,,"1,309,882","1,239,841","70,041",5.3,"1,294,733","1,223,536","71,197",5.5,"1,290,793","1,207,799","82,994",6.4,"1,304,578","1,224,551","80,027",6.1,"1,314,982","1,234,123","80,859",6.1,"1,317,407","1,217,359","100,048",7.6,"1,280,618","1,199,290","81,328",6.4,"1,293,338","1,213,549","79,789",6.2,"1,293,375","1,206,858","86,517",6.7,"1,268,505","1,149,831","118,674",9.4,"1,309,128","1,176,938","132,190",10.1,"1,345,990","1,214,638","131,352",9.8,"1,330,450","1,213,245","117,205",8.8,"1,273,057","1,164,832","108,225",8.5,"1,243,934","1,149,277","94,657",7.6,"1,260,015","1,178,018","81,997",6.5,"1,271,836","1,196,241","75,595",5.9,"1,273,981","1,207,458","66,523",5.2,"1,270,141","1,207,236","62,905",5.0,"1,280,473","1,209,451","71,022",5.5,"1,259,347","1,157,546","101,801",8.1,"45,928",100.0,Mississippi,524460,519312,479108,509923,525570,516526,491937,498591,424433,365919
27,26,MT,10777.0706055,8841.369538071429,14527.148772214288,12372.540605357142,7108.5345735,11832.66564942857,9297.517588071429,74756.84735357143,66608.07875279018,46.879682,-110.362566,Montana,30000,MT,Montana,,,,,"470,069","447,383","22,686",4.8,"465,355","443,866","21,489",4.6,"466,408","445,122","21,286",4.6,"470,502","448,251","22,251",4.7,"478,226","456,674","21,552",4.5,"485,546","465,728","19,818",4.1,"495,166","478,726","16,440",3.3,"505,095","488,129","16,966",3.4,"512,278","488,259","24,019",4.7,"502,593","466,778","35,815",7.1,"500,895","464,808","36,087",7.2,"501,065","467,786","33,279",6.6,"506,441","477,056","29,385",5.8,"511,199","483,798","27,401",5.4,"512,613","488,738","23,875",4.7,"517,901","495,725","22,176",4.3,"521,736","499,266","22,470",4.3,"525,395","503,885","21,510",4.1,"529,812","509,857","19,955",3.8,"537,145","517,793","19,352",3.6,"539,883","508,095","31,788",5.9,"57,248",100.0,Montana,153974,153907,166021,176837,170509,178926,178730,166184,139768,118357
28,27,NC,10528.09537716,8101.787416919999,13268.15706672,13978.24762548,6750.341259600001,9440.544273840002,7946.41397676,70013.5869528,62694.3223046875,35.759573,-79.0193,North Carolina,37000,NC,North Carolina,,,,,"4,127,465","3,972,811","154,654",3.7,"4,191,959","3,956,124","235,835",5.6,"4,209,274","3,917,218","292,056",6.9,"4,285,401","3,997,950","287,451",6.7,"4,287,954","4,036,223","251,731",5.9,"4,348,830","4,105,112","243,718",5.6,"4,461,103","4,232,804","228,299",5.1,"4,528,594","4,297,692","230,902",5.1,"4,578,477","4,296,605","281,872",6.2,"4,613,198","4,104,074","509,124",11.0,"4,633,695","4,135,783","497,912",10.7,"4,657,873","4,180,071","477,802",10.3,"4,720,203","4,271,383","448,820",9.5,"4,701,391","4,336,379","365,012",7.8,"4,698,287","4,410,647","287,640",6.1,"4,763,821","4,493,882","269,939",5.7,"4,844,851","4,598,456","246,395",5.1,"4,928,317","4,705,369","222,948",4.5,"4,986,852","4,786,177","200,675",4.0,"5,077,492","4,885,611","191,881",3.8,"4,950,859","4,587,407","363,452",7.3,"57,388",100.0,North Carolina,1465121,1453309,1361040,1431168,1549918,1528388,1556925,1491079,1254138,1080102
29,28,ND,10379.511631698117,8839.559501886793,14517.901460603774,11312.800395169812,6963.827396830189,10699.86383637736,5996.463598867925,68709.9276090566,82881.29142099057,47.551493,-101.002012,North Dakota,38000,ND,North Dakota,,,,,"342,761","332,615","10,146",3.0,"342,528","332,805","9,723",2.8,"342,463","330,852","11,611",3.4,"347,099","335,092","12,007",3.5,"353,652","341,694","11,958",3.4,"356,385","344,595","11,790",3.3,"362,712","351,410","11,302",3.1,"367,564","356,434","11,130",3.0,"371,843","360,446","11,397",3.1,"370,364","355,736","14,628",3.9,"379,062","365,041","14,021",3.7,"387,383","374,434","12,949",3.3,"395,490","383,888","11,602",2.9,"401,518","389,928","11,590",2.9,"409,503","398,783","10,720",2.6,"410,764","399,296","11,468",2.8,"411,778","399,001","12,777",3.1,"410,949","399,984","10,965",2.7,"407,456","397,402","10,054",2.5,"409,480","399,959","9,521",2.3,"406,839","386,006","20,833",5.1,"67,402",100.0,North Dakota,67813,71997,61607,61244,63683,65997,70025,73944,57168,54797
30,29,NE,9669.668622193549,8244.550587096774,14130.400164,17667.028342580645,6491.028108774193,12137.050646193547,9344.875703096774,77684.60194193547,71279.6363407258,41.492537,-99.901813,Nebraska,31000,NE,Nebraska,,,,,"938,849","912,620","26,229",2.8,"945,374","915,662","29,712",3.1,"952,937","917,833","35,104",3.7,"967,039","928,916","38,123",3.9,"973,636","935,722","37,914",3.9,"972,759","935,914","36,845",3.8,"971,430","941,941","29,489",3.0,"979,043","950,318","28,725",2.9,"987,537","955,470","32,067",3.2,"987,855","941,903","45,952",4.7,"992,009","945,195","46,814",4.7,"1,003,635","959,325","44,310",4.4,"1,012,807","973,448","39,359",3.9,"1,014,830","977,464","37,366",3.7,"1,012,727","979,728","32,999",3.3,"1,011,666","981,326","30,340",3.0,"1,016,062","984,966","31,096",3.1,"1,016,584","986,679","29,905",2.9,"1,027,012","997,737","29,275",2.9,"1,040,540","1,009,434","31,106",3.0,"1,035,175","991,388","43,787",4.2,"63,290",100.0,Nebraska,206291,209111,184040,202324,206100,205574,200265,201766,173309,148165
31,30,NH,14636.2873752,9769.6364868,13789.3676472,9644.0378592,8843.2287276,11368.069979999998,6751.865862000001,74802.494172,89199.25,43.193852,-71.572395,New Hampshire,33000,NH,New Hampshire,,,,,"685,799","667,603","18,196",2.7,"692,029","668,566","23,463",3.4,"700,563","668,980","31,583",4.5,"708,938","677,387","31,551",4.5,"715,495","688,271","27,224",3.8,"726,101","699,666","26,435",3.6,"732,384","706,655","25,729",3.5,"737,928","712,023","25,905",3.5,"742,881","715,076","27,805",3.7,"739,802","694,362","45,440",6.1,"739,340","694,132","45,208",6.1,"736,785","696,591","40,194",5.5,"740,796","700,448","40,348",5.4,"743,036","704,023","39,013",5.3,"743,756","711,740","32,016",4.3,"746,317","720,832","25,485",3.4,"752,478","731,002","21,476",2.9,"755,006","733,835","21,171",2.8,"764,557","744,342","20,215",2.6,"773,432","753,315","20,117",2.6,"761,732","710,817","50,915",6.7,"78,571",100.0,New Hampshire,139779,135552,134877,133464,143475,137349,138091,139569,118870,84026
32,31,NJ,20041.624333714284,9574.312942285716,12655.240964,12029.928756,10731.022045142858,15062.561234285711,12480.573158285712,92575.26389142856,104246.45982142857,40.058324,-74.405661,New Jersey,34000,NJ,New Jersey,,,,,"4,287,640","4,130,824","156,816",3.7,"4,294,366","4,112,095","182,271",4.2,"4,345,273","4,094,389","250,884",5.8,"4,344,387","4,091,465","252,922",5.8,"4,348,048","4,134,064","213,984",4.9,"4,387,304","4,192,396","194,908",4.4,"4,436,646","4,231,848","204,798",4.6,"4,436,092","4,248,982","187,110",4.2,"4,495,936","4,251,455","244,481",5.4,"4,540,303","4,133,366","406,937",9.0,"4,559,778","4,118,982","440,796",9.7,"4,561,786","4,134,708","427,078",9.4,"4,576,286","4,147,221","429,065",9.4,"4,528,019","4,147,661","380,358",8.4,"4,493,894","4,191,318","302,576",6.7,"4,494,606","4,237,876","256,730",5.7,"4,492,821","4,271,201","221,620",4.9,"4,476,129","4,274,097","202,032",4.5,"4,455,435","4,278,272","177,163",4.0,"4,522,178","4,367,251","154,927",3.4,"4,495,166","4,055,260","439,906",9.8,"85,786",100.0,New Jersey,1310811,1228822,1017136,1071584,1124840,1114220,1089994,1125246,940315,745867
33,32,NM,11098.560925818185,8407.743336727273,13523.317778181818,9936.787400363635,7067.903321454545,10937.697912,6715.551334909092,67687.56208727273,57366.03314393939,34.97273,-105.032363,New Mexico,35000,NM,New Mexico,,,,,"846,150","803,666","42,484",5.0,"855,088","812,557","42,531",5.0,"866,850","819,275","47,575",5.5,"880,251","828,390","51,861",5.9,"890,462","841,002","49,460",5.6,"906,007","858,722","47,285",5.2,"914,467","876,100","38,367",4.2,"920,673","887,565","33,108",3.6,"933,628","893,645","39,983",4.3,"928,373","862,687","65,686",7.1,"928,862","856,602","72,260",7.8,"925,108","858,165","66,943",7.2,"928,762","863,937","64,825",7.0,"929,410","865,207","64,203",6.9,"931,950","870,570","61,380",6.6,"938,300","876,206","62,094",6.6,"944,245","880,515","63,730",6.7,"946,386","888,865","57,521",6.1,"947,642","900,803","46,839",4.9,"960,239","911,926","48,313",5.0,"943,287","863,874","79,413",8.4,"52,021",100.0,New Mexico,437404,450870,404763,394687,397890,405848,378252,380445,295204,225491
34,33,NV,11752.710806117646,9006.603507529411,14758.563785647058,14747.497512705882,7521.918270352941,11146.450382117646,6991.566199764705,75925.31020235295,74772.6270680147,38.80261,-116.419389,Nevada,32000,NV,Nevada,,,,,"1,070,776","1,026,650","44,126",4.1,"1,113,529","1,055,769","57,760",5.2,"1,134,096","1,069,601","64,495",5.7,"1,150,376","1,089,893","60,483",5.3,"1,178,651","1,126,205","52,446",4.4,"1,228,449","1,177,587","50,862",4.1,"1,291,512","1,239,263","52,249",4.0,"1,344,209","1,282,414","61,795",4.6,"1,373,107","1,278,789","94,318",6.9,"1,367,367","1,207,052","160,315",11.7,"1,358,860","1,171,879","186,981",13.8,"1,360,791","1,179,653","181,138",13.3,"1,366,208","1,207,733","158,475",11.6,"1,370,727","1,234,021","136,706",10.0,"1,380,084","1,267,424","112,660",8.2,"1,396,761","1,301,094","95,667",6.8,"1,414,233","1,332,390","81,843",5.8,"1,453,132","1,380,207","72,925",5.0,"1,505,604","1,439,599","66,005",4.4,"1,566,380","1,505,228","61,152",3.9,"1,530,872","1,334,416","196,456",12.8,"63,268",100.0,Nevada,471408,472055,529094,565573,589059,560498,580575,551933,416208,341952
35,34,NY,14128.711020387096,8762.145678387096,13017.763703806451,12217.500263612905,8294.260118709677,18234.22963548387,12109.444072064516,86764.05435290321,80175.48834425403,43.299428,-74.217933,New York,36000,NY,New York,,,,,"9,140,541","8,727,537","413,004",4.5,"9,126,538","8,680,547","445,991",4.9,"9,294,770","8,718,237","576,533",6.2,"9,283,810","8,689,954","593,856",6.4,"9,359,930","8,816,050","543,880",5.8,"9,455,488","8,986,176","469,312",5.0,"9,520,386","9,090,969","429,417",4.5,"9,511,023","9,088,287","422,736",4.4,"9,641,100","9,121,271","519,829",5.4,"9,664,010","8,853,905","810,105",8.4,"9,630,297","8,790,607","839,690",8.7,"9,537,752","8,741,662","796,090",8.3,"9,602,599","8,775,083","827,516",8.6,"9,632,949","8,880,792","752,157",7.8,"9,523,567","8,925,328","598,239",6.3,"9,536,519","9,035,989","500,530",5.2,"9,527,021","9,062,866","464,155",4.9,"9,548,964","9,106,046","442,918",4.6,"9,511,244","9,121,642","389,602",4.1,"9,507,139","9,143,287","363,852",3.8,"9,289,171","8,361,006","928,165",10.0,"72,038",100.0,New York,2602283,2541757,2156461,2172693,2245437,2155975,2073007,2036206,1654986,1351396
36,35,OH,10219.128952909092,7613.183518363636,13150.143775363636,11501.11904168182,6461.350079318181,10213.477841727272,5941.784316272728,65100.18750818182,70903.52871981534,40.417287,-82.907123,Ohio,39000,OH,Ohio,,,,,"5,781,442","5,544,340","237,102",4.1,"5,821,151","5,566,414","254,737",4.4,"5,827,493","5,490,092","337,401",5.8,"5,862,996","5,498,959","364,037",6.2,"5,853,714","5,487,218","366,496",6.3,"5,880,691","5,531,429","349,262",5.9,"5,957,220","5,635,968","321,252",5.4,"6,017,203","5,679,258","337,945",5.6,"6,002,468","5,609,101","393,367",6.6,"5,904,847","5,304,803","600,044",10.2,"5,871,473","5,267,304","604,169",10.3,"5,773,480","5,263,728","509,752",8.8,"5,712,475","5,290,392","422,083",7.4,"5,706,777","5,281,459","425,318",7.5,"5,713,176","5,381,787","331,389",5.8,"5,710,776","5,427,850","282,926",5.0,"5,754,480","5,464,097","290,383",5.0,"5,796,594","5,508,224","288,370",5.0,"5,790,602","5,529,707","260,895",4.5,"5,842,249","5,599,016","243,233",4.2,"5,754,286","5,285,484","468,802",8.1,"58,704",100.0,Ohio,1209675,1182044,1261883,1358090,1384046,1338208,1294898,1248847,947102,735492
37,36,OK,9835.392297194803,8258.433600935065,13860.077201298702,13996.42816394805,6556.106677558441,10655.577850597405,7948.659703324676,71110.67537298701,61805.006493506495,35.007752,-97.092877,Oklahoma,40000,OK,Oklahoma,,,,,"1,655,517","1,605,949","49,568",3.0,"1,672,620","1,611,746","60,874",3.6,"1,685,334","1,607,453","77,881",4.6,"1,686,378","1,595,412","90,966",5.4,"1,690,505","1,610,799","79,706",4.7,"1,709,289","1,635,004","74,285",4.3,"1,714,440","1,647,518","66,922",3.9,"1,723,271","1,654,796","68,475",4.0,"1,740,886","1,678,409","62,477",3.6,"1,769,447","1,653,357","116,090",6.6,"1,765,708","1,650,502","115,206",6.5,"1,767,056","1,668,235","98,821",5.6,"1,794,901","1,703,624","91,277",5.1,"1,799,525","1,707,220","92,305",5.1,"1,797,769","1,719,826","77,943",4.3,"1,829,046","1,750,501","78,545",4.3,"1,828,055","1,743,225","84,830",4.6,"1,831,380","1,757,627","73,753",4.0,"1,838,412","1,778,445","59,967",3.3,"1,845,657","1,788,375","57,282",3.1,"1,848,485","1,734,924","113,561",6.1,"54,447",100.0,Oklahoma,646840,598090,660010,666731,691408,695537,684288,659369,576768,522022
38,37,OR,13871.104395333334,9101.673092,14027.645025,12768.552422333332,8323.943243666667,12415.406518666668,13309.707870666669,83818.03268333332,68232.7333984375,43.804133,-120.554201,Oregon,41000,OR,Oregon,,,,,"1,811,837","1,717,623","94,214",5.2,"1,815,076","1,699,359","115,717",6.4,"1,834,254","1,696,894","137,360",7.5,"1,846,328","1,698,482","147,846",8.0,"1,845,407","1,709,561","135,846",7.4,"1,848,897","1,734,710","114,187",6.2,"1,881,770","1,780,651","101,119",5.4,"1,910,890","1,812,303","98,587",5.2,"1,946,539","1,825,256","121,283",6.2,"1,968,365","1,755,156","213,209",10.8,"1,991,749","1,778,034","213,715",10.7,"1,995,931","1,804,257","191,674",9.6,"1,964,662","1,791,248","173,414",8.8,"1,924,692","1,775,139","149,553",7.8,"1,950,128","1,820,202","129,926",6.7,"1,979,475","1,871,286","108,189",5.5,"2,042,929","1,946,233","96,696",4.7,"2,080,801","1,996,375","84,426",4.1,"2,087,262","2,003,573","83,689",4.0,"2,106,948","2,029,051","77,897",3.7,"2,104,657","1,945,212","159,445",7.6,"66,955",100.0,Oregon,615610,608893,579896,628573,639710,589681,566354,560102,378857,278293
39,38,PA,11177.236365850747,8430.996852716418,13227.439709731343,11260.004017253732,7104.836182925374,12808.142150328358,8105.685545731343,72114.3407641791,73501.25064132463,41.203322,-77.194525,Pennsylvania,42000,PA,Pennsylvania,,,,,"6,105,742","5,848,152","257,590",4.2,"6,178,900","5,882,813","296,087",4.8,"6,214,539","5,869,299","345,240",5.6,"6,157,935","5,808,102","349,833",5.7,"6,212,828","5,878,607","334,221",5.4,"6,256,642","5,943,887","312,755",5.0,"6,297,964","6,002,761","295,203",4.7,"6,346,588","6,057,645","288,943",4.6,"6,439,786","6,096,818","342,968",5.3,"6,400,238","5,890,073","510,165",8.0,"6,360,605","5,838,498","522,107",8.2,"6,381,749","5,886,748","495,001",7.8,"6,449,023","5,955,409","493,614",7.7,"6,419,837","5,962,130","457,707",7.1,"6,389,059","6,010,075","378,984",5.9,"6,423,155","6,076,402","346,753",5.4,"6,458,891","6,114,644","344,247",5.3,"6,421,994","6,101,860","320,134",5.0,"6,432,154","6,145,958","286,196",4.4,"6,496,785","6,206,707","290,078",4.5,"6,387,869","5,807,942","579,927",9.1,"63,455",100.0,Pennsylvania,1197745,1167286,1080141,1203026,1254674,1249474,1210961,1204620,1047882,786343
40,39,RI,16594.7252544,10320.3034872,12764.529648,9078.537864,9752.3763576,14802.695184,10199.6026344,83512.769736,101153.2484375,41.580095,-71.477429,Rhode Island,44000,RI,Rhode Island,,,,,"542,514","520,813","21,701",4.0,"541,661","517,532","24,129",4.5,"550,244","522,201","28,043",5.1,"560,785","529,583","31,202",5.6,"555,679","526,489","29,190",5.3,"563,439","534,535","28,904",5.1,"571,586","541,675","29,911",5.2,"571,086","541,956","29,130",5.1,"568,229","525,187","43,042",7.6,"571,203","505,930","65,273",11.4,"571,505","504,957","66,548",11.6,"562,061","500,109","61,952",11.0,"560,204","502,897","57,307",10.2,"558,747","505,776","52,971",9.5,"556,635","513,406","43,229",7.8,"555,272","521,767","33,505",6.0,"553,231","524,438","28,793",5.2,"555,900","530,862","25,038",4.5,"558,221","535,520","22,701",4.1,"558,874","538,703","20,171",3.6,"541,680","490,845","50,835",9.4,"70,383",100.0,Rhode Island,110118,105801,103424,116176,120001,110145,110225,118849,74089,56939
41,40,SC,10396.033978695652,7944.085326521739,13075.94370573913,12124.857247826088,6645.348515739131,6562.758857217392,5355.842243217391,62104.86980608696,60021.241338315216,33.836081,-81.163725,South Carolina,45000,SC,South Carolina,,,,,"1,965,481","1,892,559","72,922",3.7,"1,941,956","1,839,246","102,710",5.3,"1,954,548","1,828,735","125,813",6.4,"1,999,485","1,855,599","143,886",7.2,"2,043,864","1,891,722","152,142",7.4,"2,071,111","1,919,644","151,467",7.3,"2,148,698","2,001,245","147,453",6.9,"2,155,198","2,024,493","130,705",6.1,"2,160,084","2,002,903","157,181",7.3,"2,166,737","1,919,307","247,430",11.4,"2,174,535","1,928,442","246,093",11.3,"2,185,171","1,957,493","227,678",10.4,"2,190,203","1,992,957","197,246",9.0,"2,197,876","2,034,404","163,472",7.4,"2,222,426","2,082,941","139,485",6.3,"2,267,837","2,134,087","133,750",5.9,"2,286,054","2,174,301","111,753",4.9,"2,297,079","2,200,602","96,477",4.2,"2,320,880","2,242,438","78,442",3.4,"2,367,685","2,302,573","65,112",2.8,"2,384,590","2,237,407","147,183",6.2,"56,360",100.0,South Carolina,726846,694350,721391,737955,785961,755487,770336,729833,635365,517674
