,NIC_PT,NAME,NUI_PT,YEAR,AGECAT,SEXCAT,state
273,343761,Delaware,29378,2015,0,1,10
274,366988,Delaware,23573,2015,0,2,10
275,515112,Delaware,47536,2015,1,0,10
276,244461,Delaware,26627,2015,1,1,10
277,270651,Delaware,20909,2015,1,2,10
284,205087,Delaware,5960,2015,4,0,10
288,538759,District of Columbia,24198,2015,0,0,11
289,256925,District of Columbia,14135,2015,0,1,11
290,281834,District of Columbia,10063,2015,0,2,11
291,424431,District of Columbia,22377,2015,1,0,11
292,199423,District of Columbia,13190,2015,1,1,11
293,225008,District of Columbia,9187,2015,1,2,11
300,119395,District of Columbia,2034,2015,4,0,11
304,13361134,Florida,2602192,2015,0,0,12
305,6459598,Florida,1413000,2015,0,1,12
306,6901536,Florida,1189192,2015,0,2,12
307,9606466,Florida,2324052,2015,1,0,12
308,4541975,Florida,1271624,2015,1,1,12
309,5064491,Florida,1052428,2015,1,2,12
316,3938645,Florida,312070,2015,4,0,12
320,7302970,Georgia,1366843,2015,0,0,13
321,3526700,Georgia,719729,2015,0,1,13
322,3776270,Georgia,647114,2015,0,2,13
323,4999324,Georgia,1205937,2015,1,0,13
324,2356613,Georgia,633981,2015,1,1,13
325,2642711,Georgia,571956,2015,1,2,13
332,2409680,Georgia,180136,2015,4,0,13
336,1107190,Hawaii,55299,2015,0,0,15
337,563265,Hawaii,31595,2015,0,1,15
338,543925,Hawaii,23704,2015,0,2,15
339,804318,Hawaii,50560,2015,1,0,15
340,408149,Hawaii,29282,2015,1,1,15
341,396169,Hawaii,21278,2015,1,2,15
348,316894,Hawaii,5247,2015,4,0,15
352,1206366,Idaho,177426,2015,0,0,16
353,599698,Idaho,96318,2015,0,1,16
354,606668,Idaho,81108,2015,0,2,16
355,805327,Idaho,153208,2015,1,0,16
356,394610,Idaho,83750,2015,1,1,16
357,410717,Idaho,69458,2015,1,2,16
364,419575,Idaho,26438,2015,4,0,16
368,9908414,Illinois,885019,2015,0,0,17
369,4866854,Illinois,503797,2015,0,1,17
370,5041560,Illinois,381222,2015,0,2,17
371,7072752,Illinois,807162,2015,1,0,17
372,3420346,Illinois,463980,2015,1,1,17
373,3652406,Illinois,343182,2015,1,2,17
380,2978943,Illinois,88570,2015,4,0,17
384,4872140,Indiana,621372,2015,0,0,18
385,2401924,Indiana,338900,2015,0,1,18
386,2470216,Indiana,282472,2015,0,2,18
387,3429582,Indiana,517966,2015,1,0,18
388,1665212,Indiana,284625,2015,1,1,18
389,1764370,Indiana,233341,2015,1,2,18
396,1511975,Indiana,112211,2015,4,0,18
400,2396603,Iowa,149178,2015,0,0,19
401,1201488,Iowa,85345,2015,0,1,19
402,1195115,Iowa,63833,2015,0,2,19
403,1705360,Iowa,124765,2015,1,0,19
404,847956,Iowa,72830,2015,1,1,19
405,857404,Iowa,51935,2015,1,2,19
412,723949,Iowa,27272,2015,4,0,19
416,2169065,Kansas,253816,2015,0,0,20
417,1082335,Kansas,141160,2015,0,1,20
418,1086730,Kansas,112656,2015,0,2,20
419,1495631,Kansas,219125,2015,1,0,20
420,738205,Kansas,122081,2015,1,1,20
421,757426,Kansas,97044,2015,1,2,20
428,704377,Kansas,38005,2015,4,0,20
432,3385055,Kentucky,258239,2015,0,0,21
433,1663305,Kentucky,149195,2015,0,1,21
434,1721750,Kentucky,109044,2015,0,2,21
435,2437645,Kentucky,217271,2015,1,0,21
436,1177556,Kentucky,127870,2015,1,1,21
437,1260089,Kentucky,89401,2015,1,2,21
444,993257,Kentucky,44555,2015,4,0,21
448,3368202,Louisiana,538466,2015,0,0,22
449,1631432,Louisiana,286402,2015,0,1,22
450,1736770,Louisiana,252064,2015,0,2,22
451,2312091,Louisiana,499012,2015,1,0,22
452,1092404,Louisiana,266443,2015,1,1,22
453,1219687,Louisiana,232569,2015,1,2,22
460,1105939,Louisiana,43826,2015,4,0,22
464,942917,Maine,108771,2015,0,0,23
465,460498,Maine,62013,2015,0,1,23
466,482419,Maine,46758,2015,0,2,23
467,706312,Maine,95359,2015,1,0,23
468,338920,Maine,55022,2015,1,1,23
469,367392,Maine,40337,2015,1,2,23
476,249118,Maine,14635,2015,4,0,23
480,4666572,Maryland,374972,2015,0,0,24
481,2255974,Maryland,215252,2015,0,1,24
482,2410598,Maryland,159720,2015,0,2,24
483,3386437,Maryland,327891,2015,1,0,24
484,1602600,Maryland,191187,2015,1,1,24
485,1783837,Maryland,136704,2015,1,2,24
492,1343420,Maryland,51944,2015,4,0,24
496,5376938,Massachusetts,180139,2015,0,0,25
497,2637989,Massachusetts,108145,2015,0,1,25
498,2738949,Massachusetts,71994,2015,0,2,25
499,4022766,Massachusetts,165050,2015,1,0,25
500,1947130,Massachusetts,100433,2015,1,1,25
501,2075636,Massachusetts,64617,2015,1,2,25
508,1427785,Massachusetts,16952,2015,4,0,25
512,7584232,Michigan,590197,2015,0,0,26
513,3724505,Michigan,343003,2015,0,1,26
514,3859727,Michigan,247194,2015,0,2,26
515,5486495,Michigan,523567,2015,1,0,26
516,2653192,Michigan,307520,2015,1,1,26
517,2833303,Michigan,216047,2015,1,2,26
524,2208934,Michigan,73997,2015,4,0,26
528,4358615,Minnesota,237981,2015,0,0,27
529,2178345,Minnesota,140266,2015,0,1,27
530,2180270,Minnesota,97715,2015,0,2,27
531,3130345,Minnesota,201096,2015,1,0,27
532,1551747,Minnesota,120617,2015,1,1,27
533,1578598,Minnesota,80479,2015,1,2,27
540,1287023,Minnesota,40427,2015,4,0,27
544,2103477,Mississippi,365919,2015,0,0,28
545,1010353,Mississippi,195026,2015,0,1,28
546,1093124,Mississippi,170893,2015,0,2,28
547,1421419,Mississippi,335166,2015,1,0,28
548,661433,Mississippi,179693,2015,1,1,28
549,759986,Mississippi,155473,2015,1,2,28
556,713939,Mississippi,34503,2015,4,0,28
560,4412587,Missouri,574373,2015,0,0,29
561,2168602,Missouri,307057,2015,0,1,29
562,2243985,Missouri,267316,2015,0,2,29
563,3131839,Missouri,494698,2015,1,0,29
564,1513055,Missouri,265995,2015,1,1,29
565,1618784,Missouri,228703,2015,1,2,29
572,1341542,Missouri,87594,2015,4,0,29
576,717247,Montana,118357,2015,0,0,30
577,357081,Montana,64966,2015,0,1,30
578,360166,Montana,53391,2015,0,2,30
579,512767,Montana,101226,2015,1,0,30
580,253456,Montana,55506,2015,1,1,30
581,259311,Montana,45720,2015,1,2,30
588,213872,Montana,18906,2015,4,0,30
592,1428013,Nebraska,148165,2015,0,0,31
593,715376,Nebraska,81591,2015,0,1,31
594,712637,Nebraska,66574,2015,0,2,31
595,990402,Nebraska,124004,2015,1,0,31
596,491950,Nebraska,68837,2015,1,1,31
597,498452,Nebraska,55167,2015,1,2,31
604,456980,Nebraska,26551,2015,4,0,31
608,2089393,Nevada,341952,2015,0,0,32
609,1035751,Nevada,187213,2015,0,1,32
610,1053642,Nevada,154739,2015,0,2,32
611,1480863,Nevada,291628,2015,1,0,32
612,726327,Nevada,160556,2015,1,1,32
613,754536,Nevada,131072,2015,1,2,32
620,636285,Nevada,55963,2015,4,0,32
624,996349,New Hampshire,84026,2015,0,0,33
625,492741,New Hampshire,48569,2015,0,1,33
626,503608,New Hampshire,35457,2015,0,2,33
627,743034,New Hampshire,77180,2015,1,0,33
628,363751,New Hampshire,44855,2015,1,1,33
629,379283,New Hampshire,32325,2015,1,2,33
636,267266,New Hampshire,7581,2015,4,0,33
640,6736702,New Jersey,745867,2015,0,0,34
641,3290474,New Jersey,419407,2015,0,1,34
642,3446228,New Jersey,326460,2015,0,2,34
643,4830877,New Jersey,673211,2015,1,0,34
644,2319833,New Jersey,381006,2015,1,1,34
645,2511044,New Jersey,292205,2015,1,2,34
652,2003099,New Jersey,81582,2015,4,0,34
656,1490759,New Mexico,225491,2015,0,0,35
657,726946,New Mexico,127232,2015,0,1,35
658,763813,New Mexico,98259,2015,0,2,35
659,1023180,New Mexico,202112,2015,1,0,35
660,489097,New Mexico,115263,2015,1,1,35
661,534083,New Mexico,86849,2015,1,2,35
668,490390,New Mexico,26581,2015,4,0,35
672,15066810,New York,1351396,2015,0,0,36
673,7310797,New York,791752,2015,0,1,36
674,7756013,New York,559644,2015,0,2,36
675,11029445,New York,1248234,2015,1,0,36
676,5247725,New York,738171,2015,1,1,36
677,5781720,New York,510063,2015,1,2,36
684,4247239,New York,115584,2015,4,0,36
688,7234965,North Carolina,1080102,2015,0,0,37
689,3508514,North Carolina,589146,2015,0,1,37
690,3726451,North Carolina,490956,2015,0,2,37
691,5078050,North Carolina,982155,2015,1,0,37
692,2409363,North Carolina,537654,2015,1,1,37
693,2668687,North Carolina,444501,2015,1,2,37
700,2259032,North Carolina,109227,2015,4,0,37
704,575928,North Dakota,54797,2015,0,0,38
705,297099,North Dakota,31493,2015,0,1,38
706,278829,North Dakota,23304,2015,0,2,38
707,418014,North Dakota,41779,2015,1,0,38
708,216262,North Dakota,25068,2015,1,1,38
709,201752,North Dakota,16711,2015,1,2,38
716,164949,North Dakota,14161,2015,4,0,38
720,8792642,Ohio,735492,2015,0,0,39
721,4314911,Ohio,419412,2015,0,1,39
722,4477731,Ohio,316080,2015,0,2,39
723,6323870,Ohio,623357,2015,1,0,39
724,3055795,Ohio,359990,2015,1,1,39
725,3268075,Ohio,263367,2015,1,2,39
732,2591801,Ohio,122399,2015,4,0,39
736,2716238,Oklahoma,522022,2015,0,0,40
737,1338348,Oklahoma,276510,2015,0,1,40
738,1377890,Oklahoma,245512,2015,0,2,40
739,1841266,Oklahoma,452864,2015,1,0,40
740,892130,Oklahoma,240430,2015,1,1,40
741,949136,Oklahoma,212434,2015,1,2,40
748,914708,Oklahoma,75764,2015,4,0,40
752,3024852,Oregon,278293,2015,0,0,41
753,1491204,Oregon,159926,2015,0,1,41
754,1533648,Oregon,118367,2015,0,2,41
755,2212151,Oregon,245837,2015,1,0,41
756,1075395,Oregon,143441,2015,1,1,41
757,1136756,Oregon,102396,2015,1,2,41
764,853483,Oregon,36194,2015,4,0,41
768,9509333,Pennsylvania,786343,2015,0,0,42
769,4670201,Pennsylvania,450468,2015,0,1,42
770,4839132,Pennsylvania,335875,2015,0,2,42
771,6973720,Pennsylvania,677489,2015,1,0,42
772,3373673,Pennsylvania,394897,2015,1,1,42
773,3600047,Pennsylvania,282592,2015,1,2,42
780,2665594,Pennsylvania,118250,2015,4,0,42
784,797081,Rhode Island,56939,2015,0,0,44
785,389507,Rhode Island,33001,2015,0,1,44
786,407574,Rhode Island,23938,2015,0,2,44
787,595371,Rhode Island,50357,2015,1,0,44
788,286574,Rhode Island,29577,2015,1,1,44
789,308797,Rhode Island,20780,2015,1,2,44
796,212821,Rhode Island,7396,2015,4,0,44
800,3459554,South Carolina,517674,2015,0,0,45
801,1664269,South Carolina,279747,2015,0,1,45
802,1795285,South Carolina,237927,2015,0,2,45
803,2432662,South Carolina,472598,2015,1,0,45
804,1140734,South Carolina,257011,2015,1,1,45
805,1291928,South Carolina,215587,2015,1,2,45
812,1076097,South Carolina,50016,2015,4,0,45
816,619387,South Dakota,82558,2015,0,0,46
817,310701,South Dakota,46575,2015,0,1,46
818,308686,South Dakota,35983,2015,0,2,46
819,426506,South Dakota,68588,2015,1,0,46
820,211803,South Dakota,39000,2015,1,1,46
821,214703,South Dakota,29588,2015,1,2,46
828,201041,South Dakota,15205,2015,4,0,46
832,4797982,Tennessee,656235,2015,0,0,47
833,2320215,Tennessee,367055,2015,0,1,47
834,2477767,Tennessee,289180,2015,0,2,47
835,3385796,Tennessee,597535,2015,1,0,47
836,1601998,Tennessee,335716,2015,1,1,47
837,1783798,Tennessee,261819,2015,1,2,47
844,1479923,Tennessee,64654,2015,4,0,47
848,19140106,Texas,4536765,2015,0,0,48
849,9447241,Texas,2350840,2015,0,1,48
850,9692865,Texas,2185925,2015,0,2,48
851,12698276,Texas,3862049,2015,1,0,48
852,6159891,Texas,2009200,2015,1,1,48
853,6538385,Texas,1852849,2015,1,2,48
860,6727175,Texas,747567,2015,4,0,48
864,2339921,Utah,306968,2015,0,0,49
865,1174667,Utah,164636,2015,0,1,49
866,1165254,Utah,142332,2015,0,2,49
867,1501795,Utah,244181,2015,1,0,49
868,744010,Utah,132656,2015,1,1,49
869,757785,Utah,111525,2015,1,2,49
876,874148,Utah,68231,2015,4,0,49
880,472219,Vermont,23229,2015,0,0,50
881,233023,Vermont,14128,2015,0,1,50
882,239196,Vermont,9101,2015,0,2,50
883,356403,Vermont,21759,2015,1,0,50
